epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.9507,0.73245,0.68319,1.18161,0.59879,0.6578,0.65882,0.47679,1.13121,1.2173,1.39265,0.000332933,0.000332933,0.0670397
2,135.033,0.66721,0.61397,1.1078,0.57638,0.68089,0.65191,0.48036,1.09224,1.20689,1.35351,0.000658021,0.000658021,0.0340314
3,197.686,0.64868,0.58789,1.08696,0.62173,0.64905,0.66275,0.4849,1.0919,1.19375,1.35514,0.000974859,0.000974859,0.00101492
4,261.893,0.62233,0.56206,1.06497,0.61336,0.64164,0.65227,0.48058,1.08084,1.1904,1.34964,0.000962875,0.000962875,0.000962875
5,324.486,0.59811,0.52105,1.04466,0.62733,0.65295,0.66988,0.49466,1.07041,1.17138,1.34098,0.0009505,0.0009505,0.0009505
6,389.068,0.57941,0.49693,1.03132,0.64024,0.64898,0.66175,0.49167,1.07192,1.21239,1.34955,0.000938125,0.000938125,0.000938125
7,451.622,0.55765,0.47876,1.01502,0.64828,0.64369,0.66576,0.499,1.05642,1.18962,1.33668,0.00092575,0.00092575,0.00092575
8,514.598,0.53716,0.45337,1.00181,0.62786,0.62405,0.65998,0.49363,1.05579,1.19748,1.33986,0.000913375,0.000913375,0.000913375
9,576.781,0.52442,0.43282,0.99076,0.66268,0.64061,0.68024,0.50553,1.05051,1.16991,1.33157,0.000901,0.000901,0.000901
10,641.252,0.51082,0.42073,0.97984,0.65596,0.63765,0.67742,0.50343,1.05487,1.19334,1.3428,0.000888625,0.000888625,0.000888625
11,703.563,0.49571,0.40604,0.96867,0.69711,0.6457,0.69251,0.51668,1.04091,1.1485,1.32993,0.00087625,0.00087625,0.00087625
12,767.383,0.48102,0.39228,0.95928,0.62963,0.67995,0.68982,0.51697,1.0419,1.16163,1.33501,0.000863875,0.000863875,0.000863875
13,829.572,0.46854,0.37628,0.94978,0.65785,0.65701,0.69246,0.51522,1.03511,1.16685,1.34028,0.0008515,0.0008515,0.0008515
14,893.562,0.45936,0.37061,0.94381,0.67286,0.65498,0.68881,0.51478,1.04039,1.1889,1.34637,0.000839125,0.000839125,0.000839125
15,957.507,0.44501,0.35975,0.93344,0.70863,0.62843,0.69254,0.51483,1.03812,1.19726,1.35305,0.00082675,0.00082675,0.00082675
16,1020.49,0.43521,0.35131,0.928,0.67228,0.66131,0.69295,0.51643,1.03441,1.16491,1.35545,0.000814375,0.000814375,0.000814375
17,1084.05,0.42537,0.34071,0.92001,0.673,0.66714,0.69045,0.51223,1.0256,1.17648,1.34626,0.000802,0.000802,0.000802
18,1147.37,0.41808,0.33316,0.91611,0.64534,0.68227,0.68668,0.5145,1.02565,1.15547,1.34989,0.000789625,0.000789625,0.000789625
19,1212.04,0.40904,0.32617,0.91038,0.67657,0.66187,0.69055,0.51834,1.03073,1.18518,1.34946,0.00077725,0.00077725,0.00077725
20,1274.84,0.40183,0.31726,0.90576,0.65998,0.67067,0.69879,0.52701,1.02536,1.18837,1.35147,0.000764875,0.000764875,0.000764875
21,1340.8,0.39215,0.31202,0.89859,0.69599,0.65889,0.69556,0.52493,1.02214,1.17919,1.35331,0.0007525,0.0007525,0.0007525
