epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3759,1.10694,3.92311,1.36378,0.27004,0.2001,0.09824,0.06662,1.31989,3.64357,1.49661,0.00332265,0.00332265,0.0700962
2,60.224,1.12182,2.91991,1.34434,0.23184,0.21091,0.14249,0.08495,1.43369,3.43646,1.65171,0.00652419,0.00652419,0.0399644
3,84.7032,1.1424,2.60143,1.34839,0.20578,0.19567,0.0757,0.03864,1.72309,3.98561,1.93,0.00959374,0.00959374,0.00970058
4,108.97,1.18735,2.54988,1.36683,0.22998,0.1789,0.11669,0.06959,1.48089,3.53557,1.6657,0.009406,0.009406,0.009406
5,133.571,1.14104,2.36146,1.33314,0.30692,0.21213,0.14443,0.09013,1.48489,3.17981,1.67333,0.009208,0.009208,0.009208
6,158.233,1.10718,2.19847,1.31626,0.381,0.27781,0.21132,0.13452,1.45931,2.88118,1.6537,0.00901,0.00901,0.00901
7,182.686,1.07106,2.05898,1.29235,0.34312,0.3365,0.26794,0.18012,1.32225,2.48865,1.47846,0.008812,0.008812,0.008812
8,207.162,1.05213,1.95626,1.27616,0.35182,0.28755,0.22792,0.1425,1.44547,2.68475,1.66492,0.008614,0.008614,0.008614
9,231.677,1.03083,1.87437,1.26433,0.40767,0.3666,0.31625,0.211,1.3115,2.31006,1.44914,0.008416,0.008416,0.008416
10,256.235,1.02267,1.78309,1.2544,0.42992,0.42762,0.38911,0.25898,1.30591,1.86809,1.46011,0.008218,0.008218,0.008218
11,280.743,0.99806,1.72809,1.24399,0.41739,0.43631,0.3758,0.25573,1.30343,1.95498,1.45594,0.00802,0.00802,0.00802
12,305.124,0.99157,1.68727,1.23643,0.44598,0.44441,0.396,0.26863,1.27556,1.86632,1.41822,0.007822,0.007822,0.007822
13,329.602,0.98087,1.64554,1.23008,0.43813,0.49602,0.44732,0.30895,1.22861,1.58634,1.3664,0.007624,0.007624,0.007624
14,354.001,0.95238,1.57185,1.21645,0.46682,0.45298,0.43475,0.29897,1.22846,1.6524,1.37227,0.007426,0.007426,0.007426
15,378.463,0.95256,1.54424,1.21676,0.45355,0.43589,0.40793,0.28268,1.23939,1.73357,1.39445,0.007228,0.007228,0.007228
16,403.033,0.94405,1.52149,1.20806,0.46549,0.46254,0.44594,0.30644,1.23038,1.60771,1.37781,0.00703,0.00703,0.00703
17,427.533,0.9351,1.46854,1.20117,0.4528,0.46104,0.43864,0.30416,1.22678,1.66469,1.37557,0.006832,0.006832,0.006832
18,452.056,0.9207,1.43936,1.19693,0.4485,0.54524,0.49881,0.34974,1.19127,1.48804,1.33561,0.006634,0.006634,0.006634
19,476.67,0.92035,1.39872,1.18827,0.46218,0.51973,0.45615,0.30918,1.23094,1.56276,1.37377,0.006436,0.006436,0.006436
20,501.198,0.90515,1.37942,1.18453,0.50019,0.50426,0.49376,0.3461,1.19591,1.48717,1.35001,0.006238,0.006238,0.006238
21,525.705,0.90442,1.34401,1.18136,0.46655,0.53672,0.48074,0.33733,1.17681,1.43907,1.33341,0.00604,0.00604,0.00604
22,550.316,0.89182,1.31563,1.17532,0.48814,0.58147,0.53161,0.37594,1.16578,1.35339,1.30281,0.005842,0.005842,0.005842
23,574.814,0.88611,1.28685,1.1705,0.53171,0.5634,0.52543,0.37008,1.17424,1.39528,1.32087,0.005644,0.005644,0.005644
24,599.273,0.87537,1.26594,1.16447,0.55486,0.51934,0.54071,0.38415,1.1513,1.33842,1.29529,0.005446,0.005446,0.005446
25,623.764,0.86515,1.23024,1.15817,0.51134,0.55465,0.52107,0.36937,1.15363,1.38854,1.30109,0.005248,0.005248,0.005248
26,648.257,0.86857,1.21524,1.15835,0.52016,0.54747,0.546,0.39076,1.13761,1.31427,1.28686,0.00505,0.00505,0.00505
27,672.741,0.84999,1.19169,1.15,0.55805,0.54391,0.5574,0.40018,1.14448,1.30759,1.29887,0.004852,0.004852,0.004852
28,697.493,0.8413,1.15851,1.14297,0.56572,0.55946,0.5632,0.4071,1.14745,1.2796,1.28919,0.004654,0.004654,0.004654
29,722.219,0.83634,1.1305,1.13767,0.58006,0.57458,0.61475,0.44519,1.13566,1.21937,1.28576,0.004456,0.004456,0.004456
30,746.814,0.83813,1.11968,1.13818,0.57847,0.56121,0.59007,0.42635,1.12202,1.27331,1.26945,0.004258,0.004258,0.004258
31,771.52,0.8272,1.10424,1.13424,0.47796,0.67628,0.59789,0.43527,1.12484,1.27059,1.26877,0.00406,0.00406,0.00406
32,796.079,0.82155,1.07813,1.1297,0.62925,0.54836,0.61805,0.45206,1.13015,1.24056,1.27158,0.003862,0.003862,0.003862
33,820.649,0.8134,1.05747,1.12621,0.59026,0.57592,0.62607,0.46035,1.12076,1.1971,1.26587,0.003664,0.003664,0.003664
34,845.097,0.8056,1.03856,1.1218,0.59058,0.57174,0.59661,0.42946,1.11557,1.22837,1.26979,0.003466,0.003466,0.003466
